PROJECT_NAME,ADDRESS,CITY,STATE,ZIP,COUNTY,SITE_TYPE,SITE_TYPE_DETAILED,ACRES,APN,NATIONAL_PRIORITIES_LIST,REGULATORY_AGENCIES_INVOLVED,LEAD_AGENCY,PROJECT_MANAGER,SUPERVISOR,DIVISION_BRANCH,ENVIROSTOR_ID,SITE_CODE,ASSEMBLY,SENATE,CONGRESSIONAL_DISTRICT,SPECIAL_PROGRAM,STATUS,STATUS_DATE,PAST_USES,POTENTIAL_COC,CONFIRMED_COC,POTENTIAL_MEDIA_AFFECTED,RESTRICTED_USE,SITE_MGMT_REQ,FUNDING,LATITUDE,LONGITUDE
MANUAL ARTS NEW ELEMENTARY SCHOOL NO. 1,700 State Street,Los Angeles,CA,90007,LOS ANGELES,School Investigation,School,7.1,5037028905,NO,SMBRP,SMBRP,Shahir Haddad,Thomas Cota,Southern California Schools & Brownfields Outreach,19840001,304002,57,28,37,,No Further Action,5/19/2000 0:00,"* MUSEUMS, BOTANICAL, ZOOLOGICAL GARDENS","40002, 30003, 30013, 30024, 30025, 3002502","30024-NO,30025-NO,40002-NO,30003-NO,30013-NO,3002502-NO",SOIL,NO,NONE SPECIFIED,School District,34.01683133,-118.2862908
NAVAL LANDING -  SAN PEDRO,,San Pedro,CA,,LOS ANGELES,Military Evaluation,FUDS,,NONE SPECIFIED,NO,SMBRP,SMBRP,,Douglas Bautista,Cleanup Cypress,80000820,,65,35,44,,Inactive - Needs Evaluation,7/1/2005 0:00,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,DERA,33.70833333,-118.2861111
Proposed Elementary School Site,Avenue L-12 and 82nd Street West,Lancaster,CA,93551,LOS ANGELES,School Investigation,School,12.7,NONE SPECIFIED,NO,SMBRP,SMBRP,Aslam Shareef,Shahir Haddad,Southern California Schools & Brownfields Outreach,60000622,304562,34,23,27,,No Further Action,3/18/2008 0:00,AGRICULTURAL - ORCHARD,"30001, 30004, 30006, 30007, 30008","30001-NO,30004-NO,30006-NO,30007-NO,30008-NO",SOIL,NO,NONE SPECIFIED,School District,34.651,-118.2861
COMMONWEALTH ELEMENTARY SCHOOL ADDITION,215 South Commonwealth Avenue,Los Angeles,CA,90004-6103,LOS ANGELES,School Cleanup,School,0.7,NONE SPECIFIED,NO,SMBRP,SMBRP,Johnson Abraham,Shahir Haddad,Southern California Schools & Brownfields Outreach,19820033,304263,54,26,34,,Certified / Operation & Maintenance,12/29/2009 0:00,* EDUCATIONAL SERVICES,30015,30015,"SV, IA",NO,NONE SPECIFIED,School District,34.070158,-118.285845
HOOVER ELEMENTARY SCHOOL EXPANSION,2726 Francis Avenue,Los Angeles,CA,90005,LOS ANGELES,School Cleanup,School,0.64,5077026912,NO,SMBRP,SMBRP,,Shahir Haddad,Southern California Schools & Brownfields Outreach,19700002,304347,54,26,34,,Certified,3/12/2004 0:00,"HOTEL, HOTEL, RESIDENTIAL AREA",", 30013, 30013",30013,"SOIL, SOIL",NO,NONE SPECIFIED,School District,34.0564851,-118.2857554
"Die Cast Products, Inc.",621 W. Rosecrans Avenue,Gardena,CA,90248,LOS ANGELES,Tiered Permit,Tiered Permit,,NONE SPECIFIED,NO,NONE SPECIFIED,NONE SPECIFIED,,,Cleanup Chatsworth,71002293,,65,35,43,,Refer: Other Agency,,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,,33.902871,-118.285609
DIE CAST PRODUCTS,621 W. ROSECRANS AVE.,GARDENA,CA,90248,LOS ANGELES,Evaluation,Evaluation,,NONE SPECIFIED,NO,NONE SPECIFIED,NONE SPECIFIED,,Referred - Not Assigned,Cleanup Cypress,19320199,,65,35,43,,Refer: 1248 Local Agency,11/5/2004 0:00,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,Not Applicable,33.90287068,-118.2856086
"NASCO Aircraft Brake, Inc.",13300 Estrella Ave.,Gardena,CA,90248,LOS ANGELES,Evaluation,Evaluation,,NONE SPECIFIED,NO,"LA CNTY FIRE DEPT. (BILLING AND UST), LOS ANGELES COUNTY",NONE SPECIFIED,,* Greg Holmes,Cleanup Cypress,70000121,,65,35,43,,Refer: 1248 Local Agency,8/18/2005 0:00,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,Not Applicable,33.91119079,-118.2855354
CULLIGAN DEIONIZED WATER SERVICES,315 N HOOVER ST,LOS ANGELES,CA,900040000,LOS ANGELES,Corrective Action,Corrective Action,0,NONE SPECIFIED,NO,NONE SPECIFIED,NONE SPECIFIED,,* Unknown,Cleanup Chatsworth,80001345,,54,26,34,,Inactive - Needs Evaluation,11/1/2018 0:00,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,,34.077263,-118.284851
EMERSON & CUMING INC,604 WEST 182ND STREET,GARDENA,CA,90247,LOS ANGELES,Historical,* Historical,,NONE SPECIFIED,NO,NONE SPECIFIED,NONE SPECIFIED,,Referred - Not Assigned,Cleanup Chatsworth,19300176,,65,35,44,,Refer: RCRA,8/25/1995 0:00,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,,33.86944444,-118.2847222
SAN FERNANDO VALLEY (AREA 2),CRYSTAL SPRINGS WELLFIELD AREA,GLENDALE,CA,91209,LOS ANGELES,Federal Superfund,State Response or NPL,7229,NONE SPECIFIED,YES,"SMBRP, RWQCB 4 - Los Angeles, US EPA",US EPA,Laura Radke,Emad Yemut,Cleanup Cypress,19990012,300127,44,25,30,,Active,1/1/1984 0:00,"AEROSPACE MANUFACTURING/MAINTENANCE, MANUFACTURING - INDUSTRIAL MACHINERY, METAL FINISHING, METAL PLATING - CHROME, METAL PLATING - OTHER, RESEARCH - AEROSPACE","30022, 30026, 30027, 30152, 30153","3,002,230,026,300,270,000,000,000","AQUI, SOIL",NO,NONE SPECIFIED,Responsible Party,34.1575,-118.2847222
PUEBLO NUEVO CHARTER ACADEMY,3501-3515 West Temple Street and 325 North Hoover Street,Los Angeles,CA,90004,LOS ANGELES,School Cleanup,School,0.8,"5501-003-003, 5501-003-021, 5501-003-033, 5501-003-042, 5501-003-043, 5501003003, 5501003021, 5501003033, 5501003042, 5501003043",NO,SMBRP,SMBRP,,Juli Propes,Southern California Schools & Brownfields Outreach,60000553,304556,54,26,34,,Certified,10/20/2011 0:00,"FUEL - VEHICLE STORAGE/ REFUELING, FUEL HYDRANT PUMPING STATIONS, OFFICE BUILDING, VEHICLE MAINTENANCE, WASTE - INDUSTRIAL TREATMENT FACILITY","30001, 30013","30001,30013-NO","OTH, SOIL",NO,NONE SPECIFIED,School District,34.077092,-118.284675
CULLIGAN D I WATER SERVICES,315 NORTH HOOVER STREET,LOS ANGELES,CA,90004,LOS ANGELES,Historical,* Historical,,NONE SPECIFIED,NO,NONE SPECIFIED,NONE SPECIFIED,,Referred - Not Assigned,Cleanup Chatsworth,19350464,,54,26,34,* RCRA 3012 - Past Haz Waste Disp Inven Site,Refer: RCRA,1/18/1984 0:00,NONE SPECIFIED,"10061, 10193, 10197, 20011, 20017, 30153, 30407",NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,,34.0775,-118.2844444
Magnolia Charter School #3,555 W. Redondo Beach Boulevard,Gardena,CA,90248,LOS ANGELES,School Investigation,School,2.06,6120028006,NO,SMBRP,SMBRP,,Javier Hinojosa,Southern California Schools & Brownfields Outreach,60000945,304608,65,35,43,,No Further Action,8/20/2008 0:00,"OFFICE BUILDING, SCHOOL - COLLEGE","NONE SPECIFIED,31000",31000,NMA,NO,NONE SPECIFIED,School District,33.89318176,-118.2844305
68TH STREET ELEMENTARY SCHOOL,612 West 68th Street,Los Angeles,CA,90044-6204,LOS ANGELES,School Investigation,School,0.1,6013029900,NO,SMBRP,SMBRP,,Yolanda Garza,Southern California Schools & Brownfields Outreach,19880025,304292,57,28,37,,No Further Action,3/21/2002 0:00,* EDUCATIONAL SERVICES,"NONE SPECIFIED,31000",31000,SOIL,NO,NONE SPECIFIED,School District,33.97718516,-118.2843186
L.A.COUNTY JOINT WATER POLLUTION CONTROL,24501 SOUTH FIGUEROA,CARSON,CA,90745,LOS ANGELES,Historical,* Historical,,NONE SPECIFIED,NO,NONE SPECIFIED,NONE SPECIFIED,,Referred - Not Assigned,Cleanup Cypress,19490018,,69,35,44,,Refer: Other Agency,2/10/1981 0:00,NONE SPECIFIED,10119,NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,,33.8006799,-118.2840818
EMERSON & CUMING,604 W 182ND ST,GARDENA,CA,902480000,LOS ANGELES,Corrective Action,Corrective Action,1.74,7339-007-025,NO,SMBRP,WM,Peter Ruttan,Rizgar Ghazi,Engineering & Special Projects,80001717,400306,65,35,44,,No Further Action,1/13/2012 0:00,"HAZARDOUS WASTE STORAGE - TANKS/CONTAINERS, MANUFACTURING - CHEMICALS","30022, 30032, 30550","30022-NO,30032-NO,30550-NO",SOIL,NO,NONE SPECIFIED,,33.869295,-118.283879
WILMINGTON/GRAMERCY RIGHT-OF-WAY,BETWEEN TRANSMISSION TOWERS 1038-1050,LOS ANGELES,CA,90746,LOS ANGELES,Voluntary Cleanup,Voluntary Agreement,18.5,NONE SPECIFIED,NO,SMBRP,SMBRP,Natasha Dipietro,Maryam Tasnif-Abbasi,Cleanup Cypress,19490245,300837,65,35,44,Voluntary Agreement - Standard Voluntary Agreement,Active,4/25/2000 0:00,WASTE - INDUSTRIAL TREATMENT FACILITY,"30025, 30472","30472-NO,30025-NO","AQUI, SOIL, SV",YES,NONE SPECIFIED,Responsible Party,33.85811327,-118.2837663
Harbor College Teacher Preparatory Academy,1111 Figueroa Place,Wilmington,CA,90744,LOS ANGELES,School Investigation,School,1.36,NONE SPECIFIED,NO,SMBRP,SMBRP,Aslam Shareef,Shahir Haddad,Southern California Schools & Brownfields Outreach,60001351,304469,65,35,44,,No Further Action,6/24/2011 0:00,OIL FIELD,"30015, 30330","30015-NO,30330-NO",UE,NO,NONE SPECIFIED,School District,33.784208,-118.2837149
BELMONT/HOLLYWOOD NO. 4,Willowbrook Ave/Hoover St/Santa Monica Blvd,Los Angeles,CA,90029,LOS ANGELES,School Investigation,School,1.6,NONE SPECIFIED,NO,SMBRP,SMBRP,,Shahir Haddad,Southern California Schools & Brownfields Outreach,19800042,304136,52,26,30,,Inactive - Needs Evaluation,8/20/2002 0:00,HOSPITAL,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,School District,34.089651,-118.283625
COLLIER CARBON & CHEMICAL CORP,1480 WEST ANAHEIM STREET,WILMINGTON,CA,90744,LOS ANGELES,Historical,* Historical,,NONE SPECIFIED,NO,NONE SPECIFIED,NONE SPECIFIED,,Referred - Not Assigned,Cleanup Cypress,19281005,,66,35,44,* Site Char & Assess Grant (CERCLA 104),Refer: Other Agency,8/31/1995 0:00,NONE SPECIFIED,"10097, 40001, 10193, 10197, 10199, 20006, 20013, 20027",NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,,33.77861111,-118.2836111
"AEROTRON SUPPLY COMPANY, INC",556 WEST 182ND STREET,GARDENA,CA,90248,LOS ANGELES,Historical,* Historical,,NONE SPECIFIED,NO,NONE SPECIFIED,NONE SPECIFIED,,* Mmonroy,Cleanup Cypress,19500102,,65,35,44,* Site Char & Assess Grant (CERCLA 104),Refer: RCRA,4/1/1985 0:00,NONE SPECIFIED,"10195, 10198, 20000",NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,,33.86944444,-118.2836111
STATE GUARD AIR FIELD,,Griffith Park,CA,,LOS ANGELES,Military Evaluation,FUDS,0,NONE SPECIFIED,NO,SMBRP,SMBRP,,Douglas Bautista,Cleanup Cypress,80000865,,51,26,30,,Inactive - Needs Evaluation,7/1/2005 0:00,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,DERA,34.15277778,-118.2833333
ELITE CLEANERS,1242 W GLENOAKS BLVD,GLENDALE,CA,91201,LOS ANGELES,Evaluation,Evaluation,0.19,5623036002,NO,SMBRP,SMBRP,Greta Fischer,Marissa Cozette,CVCI Discovery and Enforcement,60003362,308055,44,25,30,CVCI - Discovery and Enforcement,Active,4/1/2022 0:00,DRY CLEANING,"30022, 30027, 30028, 30194, 30195, 30196","30022-NO,30027-NO,30028-NO,30194-NO,30195-NO,30196-NO",SV,NO,NONE SPECIFIED,CVCI 2021,34.165809,-118.283022
Metro Rail to River Project,Railroad right-of-way from West 67th St and 11th Ave to Slauson Ave and Santa Fe Ave,Los Angeles,CA,90043,LOS ANGELES,Voluntary Cleanup,Voluntary Agreement,0,NONE SPECIFIED,NO,SMBRP,SMBRP,Jessy Fierro,Jose Diaz,Cleanup Chatsworth,60002495,301790,57,28,37,Voluntary Agreement - Standard Voluntary Agreement,Active,2/9/2017 0:00,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,Responsible Party,33.9893,-118.282967
PARK VIEW VILLAGE,933 - 937 SOUTH PARK VIEW STREET,LOS ANGELES,CA,90006,LOS ANGELES,Evaluation,Evaluation,,NONE SPECIFIED,NO,NONE SPECIFIED,NONE SPECIFIED,,Referred - Not Assigned,Cleanup Cypress,19000022,,54,26,34,,Refer: 1248 Local Agency,9/27/2004 0:00,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,Not Applicable,34.0540189,-118.282879
GOLDEN EAGLE REFINERY (FORMER),21000 SOUTH FIGUEROA STREET,CARSON,CA,90745,LOS ANGELES,State Response,State Response or NPL,76,"7336-002-026, 7336-002-027, 7336-002-029, 7336-002-030, 7336-002-031, 7336-002-032, 7336-002-033, 7336-002-034, 7336-002-037, 7336-002-042, 7336-002-045, 7336-002-060, 7336-002-061, 7336-002-062, 7336-002-063, 7336-002-064, 7336-002-065, 7336-002-067, 7336-002-068, 7336-007-006, 7336-007-007, 7336-007-008, 7336-007-010, 7336-007-011, 7336-007-012, 7336-007-013, 7336-007-015, 7336-007-017, 7336-007-018, 7336-007-019, 7336-007-020, 7336-007-025, 7336002026, 7336002027, 7336002029, 7336002030, 7336002031, 7336002032, 7336002033, 7336002034, 7336002037, 7336002042, 7336002045, 7336002060, 7336002061, 7336002062, 7336002063, 7336002064, 7336002065, 7336002067, 7336002068, 7336007006, 7336007007, 7336007008, 7336007010, 7336007011, 7336007012, 7336007013, 7336007015, 7336007017, 7336007018, 7336007019, 7336007020, 7336007025",NO,SMBRP,SMBRP,Linda Ocampo,Emad Yemut,Southern California Schools & Brownfields Outreach,19290167,400072,69,35,44,,Active,10/13/2014 0:00,"LANDFILL - DOMESTIC, MANUFACTURING - PETROLEUM, LANDFILL - DOMESTIC, LANDFILL - HAZARDOUS WASTE","30003, 30246, 30272, 30550, 30593, 30022, 30025, 30027, 30028","30022,30025,30027,30028,, ,30003,30246,30272,30550,30593","OTH, OTH",YES," REM, ASP, FOUN, DAY, ELD, HOS, LUC, MON, OIL, NOWN, NDAM, NUSE, NDEV, NSUB, EXT, HS, FOOD, RES",Responsible Party,33.8407368,-118.2828067
Sywest Development,20151 South Main Street,Carson,CA,90745,LOS ANGELES,Voluntary Cleanup,Voluntary Agreement,24.65,7336-004-016,NO,SMBRP,SMBRP,Rania Zabaneh,Meghan Hearne,Cleanup Cypress,60003387,402024,65,35,44,,Active,4/4/2022 0:00,LANDFILL - HAZARDOUS WASTE,"30003, 30009, 30019, 30025, 30027, 30298, 39105, 39106, 30022","30003-NO,30009-NO,30019-NO,30022-NO,30025-NO,30027-NO,30298-NO,39105-NO,39106-NO","OTH, SOIL, SV",NO,NONE SPECIFIED,Responsible Party,33.84866618,-118.2826372
Deutsch Metal Components,14800 S. Figueroa Street,Gardena,CA,90248,LOS ANGELES,Tiered Permit,Tiered Permit,,NONE SPECIFIED,NO,NONE SPECIFIED,NONE SPECIFIED,,,Cleanup Chatsworth,71002306,,65,35,43,,Refer: Other Agency,,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,,33.898426,-118.282595
"Gardena Specialized Processing, Inc.",16520 S Figueroa St,Gardena,CA,90248,LOS ANGELES,Tiered Permit,Tiered Permit,,NONE SPECIFIED,NO,NONE SPECIFIED,NONE SPECIFIED,,,Cleanup Chatsworth,71003816,,65,35,44,,Refer: Other Agency,,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,,33.8813167,-118.2825407
Roberts Company,550 Patrice Place,Gardena,CA,90248,LOS ANGELES,Evaluation,Evaluation,1.8,NONE SPECIFIED,NO,SMBRP,SMBRP,,Eileen Mananian,Cleanup Cypress,60001105,,65,35,44,EPA - PASI,No Further Action,11/9/2010 0:00,MANUFACTURING - OTHER,"30019, 30022, 30156","300,193,002,230,156",SV,NO,NONE SPECIFIED,EPA Grant,33.86615,-118.28252
"American Racing Equip, Inc.",17006 S. Figueroa Street,Carson,CA,90248,LOS ANGELES,Tiered Permit,Tiered Permit,2,NONE SPECIFIED,NO,NONE SPECIFIED,NONE SPECIFIED,,Robert Senga,Cleanup Chatsworth,71002599,550054,65,35,44,,No Further Action,9/15/2010 0:00,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,,33.8767453,-118.2823323
GS Nursery,20331 Main Street,Carson,CA,90745,LOS ANGELES,Voluntary Cleanup,Voluntary Agreement,5.42,7336004010,NO,SMBRP,SMBRP,Eileen Mananian,Eileen Mananian,Cleanup Cypress,60000514,402009,65,35,44,Voluntary Agreement - Standard Voluntary Agreement,Inactive - Needs Evaluation,10/2/2018 0:00,LANDFILL - CONSTRUCTION,"30003, 30006, 30007, 30008, 30015, 30024, 30088, 30106, 30127, 30187, 30272, 30484, 30498, 30499, 30577, 30578, 30593",",","OTH, SOIL, SV, OTH, SOIL, SV",NO,NONE SPECIFIED,Responsible Party,33.84670026,-118.2820716
GARDENA VALLEY LANDFILL 1 & 2,"BTW DEL AMO,TORRANCE,MAIN,FIGUEROA ST",CARSON,CA,90745,LOS ANGELES,Voluntary Cleanup,Voluntary Agreement,14.5,NONE SPECIFIED,NO,SMBRP,SMBRP,Clayton Larkins,Patrick Hsieh,Cleanup Cypress,19490203,402008,69,35,44,Voluntary Agreement - Standard Voluntary Agreement,Certified O&M - Land Use Restrictions Only,4/28/1989 0:00,LANDFILL - HAZARDOUS WASTE,"10008, 10077, 10097, 10179",NONE SPECIFIED,"OTH, SOIL",YES," REM, DAY, ELD, HOS, LUC, EX, NDEV, NSUB, SCH, RES",Responsible Party,33.8434,-118.2819
Carroll Shelby Enterprises Facility,19021 South Figueroa Street,Gardena,CA,90248,LOS ANGELES,Voluntary Cleanup,Voluntary Agreement,3.43,"7339-009-005, 7339-009-006",NO,SMBRP,SMBRP,Johnson Abraham,Shahir Haddad,Southern California Schools & Brownfields Outreach,60001060,401476,65,35,44,Voluntary Agreement - Standard Voluntary Agreement,Active,2/9/2009 0:00,"ENGINE TESTING/REPAIR, FOUNDRY, MANUFACTURING - METAL, OFFICE BUILDING, UNDERGROUND STORAGE TANKS","30003, 30022, 30024, 30025, 30026, 30027, 30187, 30193, 30194, 30535, 30536, 30564","30003,30536,30564,30022,30024,30025,30026,30193-NO,30535,30187,30027,30194-NO","OTH, SOIL, SV",NO,NONE SPECIFIED,Responsible Party,33.85818,-118.28175
Decore Plating,434 West 164-th Street,Gardena,CA,90249,LOS ANGELES,Evaluation,Evaluation,1,6125-019-019,NO,SMBRP,SMBRP,,Javier Hinojosa,Cleanup Chatsworth,60001441,301504,65,35,44,EPA - PASI,Inactive - Action Required,5/7/2013 0:00,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,Not Applicable,33.882526,-118.281651
PORT OF LOS ANGELES BERTH 174,425 SOUTH PALOS VERDES STREET,SAN PEDRO,CA,90733,LOS ANGELES,Evaluation,Evaluation,0,NONE SPECIFIED,NO,US EPA,US EPA,,Eileen Mananian,Cleanup Cypress,19440005,,65,35,44,EPA - PASI,Refer: RWQCB,1/11/2011 0:00,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,,33.73972222,-118.2813889
GS ROOFING PRODUCTS COMPANY,1431 WEST E. STREET,WILMINGTON,CA,90744,LOS ANGELES,Evaluation,Evaluation,,NONE SPECIFIED,NO,NONE SPECIFIED,NONE SPECIFIED,,Referred - Not Assigned,Cleanup Cypress,19170001,,66,35,44,,Refer: 1248 Local Agency,12/8/2004 0:00,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,Not Applicable,33.7746389,-118.2809894
GLENDALE PUBLIC SERVICES DEPARTMENT,800 AIR WAY,GLENDALE,CA,91201,LOS ANGELES,Historical,* Historical,,NONE SPECIFIED,NO,NONE SPECIFIED,NONE SPECIFIED,,Referred - Not Assigned,Cleanup Chatsworth,19490185,,44,25,30,* RCRA 3012 - Past Haz Waste Disp Inven Site,Refer: Other Agency,5/1/1984 0:00,NONE SPECIFIED,30018,NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,,34.15888889,-118.2808333
"Coast Plating, Inc.",417 W. 164th Street,Gardena,CA,90248,LOS ANGELES,Tiered Permit,Tiered Permit,,NONE SPECIFIED,NO,NONE SPECIFIED,NONE SPECIFIED,,,Cleanup Chatsworth,71002311,,65,35,44,,Refer: Other Agency,,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,,33.883278,-118.28083
REBEL MINI STORAGE,20501 S. MAIN STREET,CARSON,CA,90745,LOS ANGELES,Voluntary Cleanup,Voluntary Agreement,12.8,"7336-00-3037, 7336-00-7338, 7336-00-7339, 7336-00-7340, 7336003037, 7336003038",NO,SMBRP,SMBRP,Linda Ocampo,Emad Yemut,Southern California Schools & Brownfields Outreach,19000020,401267,69,35,44,Voluntary Agreement - Standard Voluntary Agreement,Certified / Operation & Maintenance,12/8/2004 0:00,LANDFILL - DOMESTIC,"30001, 30003, 30005, 30013, 30015, 30067, 30156, 30272, 30407, 30550, 30587, 30593","300,013,000,330,005,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000",SV,YES," ASP, FOUN, DAY, ELD, HOS, EX, SCH, RES",Responsible Party,33.84543047,-118.2806137
WESTERN PIPE & STEEL,,Los Angeles,CA,,LOS ANGELES,Military Evaluation,FUDS,,NONE SPECIFIED,NO,SMBRP,SMBRP,,Douglas Bautista,Cleanup Cypress,80000672,,65,35,44,,Inactive - Needs Evaluation,7/1/2005 0:00,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,DERA,33.76111111,-118.2805556
CHEMTRUST INDUSTRIES CORP CALIFORNIA,333 WEST CROWN VISTA DRIVE,GARDENA,CA,90248,LOS ANGELES,Historical,* Historical,1,NONE SPECIFIED,NO,NONE SPECIFIED,NONE SPECIFIED,,Patrick Hsieh,Cleanup Cypress,19280876,,65,35,43,* Site Char & Assess Grant (CERCLA 104),No Further Action,6/1/1985 0:00,MANUFACTURING - CHEMICALS,"30013, 30067, 30108, 30407, 30594","30067-NO,30108-NO,30407-NO,30013-NO,30594-NO",SOIL,NO,NONE SPECIFIED,,33.89704526,-118.2804299
BELMONT/HOLLYWOOD PRIMARY CENTER NO. 2,310 South LaFayette Park Place,Los Angeles,CA,90057,LOS ANGELES,School Investigation,School,1.4,5155018059,NO,SMBRP,SMBRP,,Javier Hinojosa,Southern California Schools & Brownfields Outreach,19880002,300792,54,26,34,,No Further Action,4/2/2002 0:00,RESIDENTIAL AREA,", 30474, 30156, 30407, 30478, 30001, 30067, 30014, 30515, 30476, 30013, 30485, 10084, 30479, 30475, 30402, 30154, 30594, 30481, 30542",NONE SPECIFIED,SOIL,NO,NONE SPECIFIED,School District,34.06642809,-118.2803566
BELMONT PRIMARY CENTER NO. 1,610 North Micheltorena Street,Los Angeles,CA,90026,LOS ANGELES,School Investigation,School,1.5,5401015900,NO,SMBRP,SMBRP,,Javier Hinojosa,Southern California Schools & Brownfields Outreach,19820049,304132,52,26,30,,No Further Action,9/7/2001 0:00,* EDUCATIONAL SERVICES,", 30013, 30015",NONE SPECIFIED,NMA,NO,NONE SPECIFIED,School District,34.07937901,-118.2803448
EDISON/SAN PEDRO MGP,SANTA CRUZ ST. CENTREST AND PALOS VERDES,SAN PEDRO,CA,90731,LOS ANGELES,Voluntary Cleanup,Voluntary Agreement,,NONE SPECIFIED,NO,SMBRP,SMBRP,,Sayareh Amirebrahimi,Cleanup Chatsworth,19490232,400450,65,35,44,Voluntary Agreement - Standard Voluntary Agreement,No Further Action,11/23/1994 0:00,MANUFACTURED GAS PLANT,10097,NONE SPECIFIED,SOIL,NO,NONE SPECIFIED,Responsible Party,33.74389,-118.28027
NORTH CARSON AREA SITE DISCOVERY PROJECT,VICINITY OF I-405 FREEWAY AND MAIN STREET,CARSON,CA,90745,LOS ANGELES,Evaluation,Evaluation,275,NONE SPECIFIED,NO,SMBRP,SMBRP,,Douglas Bautista,Cleanup Cypress,60002068,,65,35,44,EPA - PASI,No Action Required,8/11/2015 0:00,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,EPA Grant,33.852567,-118.280203
Southern California Edison Easement,19800 S. Main Street,Carson,CA,90745,LOS ANGELES,Voluntary Cleanup,Voluntary Agreement,0.1,7339017910,NO,SMBRP,SMBRP,,Emad Yemut,Southern California Schools & Brownfields Outreach,60002821,401853,65,35,44,Voluntary Agreement - Standard Voluntary Agreement,No Further Action,2/25/2020 0:00,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,Responsible Party,33.85213043,-118.2801403
WERDIN DUMP,20402 S MAIN ST,CARSON,CA,90745,LOS ANGELES,Historical,* Historical,,NONE SPECIFIED,NO,NONE SPECIFIED,NONE SPECIFIED,,* Mmonroy,Cleanup Cypress,19490104,,69,35,44,* Site Char & Assess Grant (CERCLA 104),Refer: RWQCB,1/18/1995 0:00,NONE SPECIFIED,"10008, 20011",NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,,33.8452199,-118.2799707
Commercial Plating & Engrg.,342 W. 130th Street,Los Angeles,CA,90061,LOS ANGELES,Tiered Permit,Tiered Permit,,NONE SPECIFIED,NO,NONE SPECIFIED,NONE SPECIFIED,,,Cleanup Chatsworth,71002685,,65,35,43,,Refer: Other Agency,,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,,33.914071,-118.279963
Central Region Macarthur Park Elementary School,Park View Street/Grand View Street/West 8th,Los Angeles,CA,90017,LOS ANGELES,School Investigation,School,1.8,NONE SPECIFIED,NO,SMBRP,SMBRP,Amit Pathak,Shahir Haddad,Southern California Schools & Brownfields Outreach,60000831,304593,54,26,34,,No Further Action,11/6/2008 0:00,"NONE, SCHOOL - OTHER","30004, 30006, 30007, 30008, 30010, 30013, 30024, 30025, 3002501, 3002502","30024-NO,30025-NO,3002501-NO,3002502-NO,30004-NO,30006-NO,30007-NO,30008-NO,30010-NO,30013-NO",SOIL,NO,NONE SPECIFIED,School District,34.057,-118.2798
